month,geo_region_id,customers,customer_less_2,customer_greater_3,orders,orders_less_2,orders_greater_3,customers_m_1,customer_less_2_m_1,customer_greater_3_m_1,orders_m_1,orders_less_2_m_1,orders_greater_3_m_1,customers_m_2
2022-07-01,1,14793,13954,839,19659.0,15697.0,3962.0,2388.0,1868.0,520.0,5538.0,2264.0,3274.0,1064.0
2022-07-01,2,20230,18991,1239,26838.0,21436.0,5402.0,3781.0,2850.0,931.0,9071.0,3574.0,5497.0,1699.0
2022-07-01,3,30602,28921,1681,40070.0,32428.0,7642.0,5350.0,4159.0,1191.0,12247.0,5118.0,7129.0,2384.0
2022-07-01,4,16554,15860,694,20451.0,17644.0,2807.0,2484.0,2077.0,407.0,4743.0,2551.0,2192.0,897.0
2022-07-01,5,11720,11026,694,15459.0,12402.0,3057.0,2142.0,1662.0,480.0,5124.0,2093.0,3031.0,843.0
2022-07-01,6,3852,3574,278,5290.0,4149.0,1141.0,746.0,557.0,189.0,1838.0,692.0,1146.0,364.0
2022-07-01,7,788,764,24,937.0,836.0,101.0,71.0,65.0,6.0,95.0,76.0,19.0,18.0
2022-07-01,8,5310,5071,239,6673.0,5667.0,1006.0,721.0,556.0,165.0,1592.0,677.0,915.0,271.0
2022-07-01,9,1255,1182,73,1679.0,1383.0,296.0,229.0,188.0,41.0,434.0,240.0,194.0,58.0
2022-07-01,10,1290,1233,57,1670.0,1433.0,237.0,158.0,111.0,47.0,385.0,131.0,254.0,83.0
2022-07-01,11,863,828,35,1060.0,924.0,136.0,123.0,99.0,24.0,236.0,117.0,119.0,40.0
2022-07-01,12,750,725,25,879.0,787.0,92.0,66.0,55.0,11.0,126.0,70.0,56.0,20.0
2022-07-01,13,181,179,2,203.0,196.0,7.0,18.0,16.0,2.0,25.0,19.0,6.0,3.0
2022-07-01,14,221,215,6,272.0,242.0,30.0,15.0,15.0,0.0,17.0,17.0,0.0,1.0
2022-07-01,15,183,176,7,221.0,198.0,23.0,10.0,9.0,1.0,16.0,10.0,6.0,2.0
