month,geo_region_id,customers_who_ordered_in_previous_month,customers_retained,less_than_two_order_customers,greater_than_two_order_customers,total_orders,orders_less_than_2,orders_greater_than_2,m_1_customers_who_ordered_in_last_to_last_month,m1_customers_retained,m1_less_than_two_order_customers,m1_greater_than_two_order_customers,m1_total_orders,m1_orders_less_than_2,m1_orders_greater_than_2,m1_retention_history
2022-07-01,-1772748896,1,0,0,0,0.0,,,1,0,0,0,0.0,,,0
2022-07-01,1,143602,74220,36417,37803,377644.0,49719.0,327925.0,145889,53432,21476,31956,324541.0,30430.0,294111.0,42108
2022-07-01,2,146022,83962,37895,46067,453833.0,52379.0,401454.0,143952,60770,21840,38930,391090.0,31354.0,359736.0,48241
2022-07-01,3,232528,121308,55896,65412,713200.0,76198.0,637002.0,221703,86801,31458,55343,619196.0,44682.0,574514.0,67355
2022-07-01,4,100899,40045,22677,17368,170814.0,30184.0,140630.0,95443,25836,11765,14071,139169.0,16307.0,122862.0,19013
2022-07-01,5,88001,44785,20471,24314,262060.0,27938.0,234122.0,79608,31624,11258,20366,224933.0,15983.0,208950.0,24912
2022-07-01,6,31183,17277,8054,9223,88948.0,11059.0,77889.0,30057,12102,4508,7594,74816.0,6433.0,68383.0,9185
2022-07-01,7,5508,1469,877,592,6317.0,1167.0,5150.0,6899,902,439,463,5138.0,617.0,4521.0,641
2022-07-01,8,26823,12141,6266,5875,53829.0,8439.0,45390.0,26841,7880,3273,4607,43086.0,4604.0,38482.0,5747
2022-07-01,9,4942,1760,1058,702,6906.0,1393.0,5513.0,4607,909,414,495,4903.0,571.0,4332.0,598
2022-07-01,10,9154,3484,1819,1665,15491.0,2431.0,13060.0,9910,2183,931,1252,11841.0,1312.0,10529.0,1516
2022-07-01,11,4670,1723,930,793,7534.0,1230.0,6304.0,4376,1020,424,596,5870.0,586.0,5284.0,678
2022-07-01,12,5543,2029,1106,923,9039.0,1496.0,7543.0,4645,1161,501,660,6760.0,718.0,6042.0,805
2022-07-01,13,1497,421,260,161,1511.0,356.0,1155.0,1440,216,109,107,960.0,150.0,810.0,134
2022-07-01,14,1201,285,181,104,927.0,221.0,706.0,1111,127,62,65,573.0,73.0,500.0,79
2022-07-01,15,950,315,180,135,1250.0,229.0,1021.0,1021,182,75,107,955.0,94.0,861.0,112
