month,geo_region_id,customers_who_ordered_in_previous_month,customers_retained,less_than_two_order_customers,greater_than_two_order_customers,total_orders,orders_less_than_2,orders_greater_than_2,m_1_customers_who_ordered_in_last_to_last_month,m1_customers_retained,m1_less_than_two_order_customers,m1_greater_than_two_order_customers,m1_total_orders,m1_orders_less_than_2,m1_orders_greater_than_2,m1_retention_history
2022-07-01,1,81907,48922,22720,26202,264722.0,31337.0,233385.0,82294,36612,14170,22442,231301.0,20166.0,211135.0,29319
2022-07-01,2,85492,56675,23346,33329,332590.0,32725.0,299865.0,83782,42987,14390,28597,291869.0,20786.0,271083.0,34844
2022-07-01,3,110155,71366,28390,42976,485000.0,39558.0,445442.0,104619,54977,17780,37197,432341.0,25480.0,406861.0,44548
2022-07-01,4,43100,23230,11664,11566,114012.0,15910.0,98102.0,40878,16511,6868,9643,97028.0,9653.0,87375.0,12704
2022-07-01,5,47000,29714,12177,17537,193420.0,16884.0,176536.0,42908,22261,7300,14961,169537.0,10429.0,159108.0,18018
2022-07-01,6,20651,12830,5641,7189,70575.0,7847.0,62728.0,19647,9293,3281,6012,60351.0,4715.0,55636.0,7218
2022-07-01,7,3049,1121,635,486,5125.0,865.0,4260.0,3707,730,349,381,4243.0,494.0,3749.0,525
2022-07-01,8,14989,8788,4144,4644,42172.0,5719.0,36453.0,14394,6126,2396,3730,34742.0,3407.0,31335.0,4610
2022-07-01,9,2410,1140,624,516,5045.0,841.0,4204.0,2247,663,286,377,3752.0,403.0,3349.0,455
2022-07-01,10,6237,2793,1401,1392,13124.0,1895.0,11229.0,6668,1805,747,1058,10194.0,1062.0,9132.0,1296
2022-07-01,11,2659,1285,640,645,6156.0,871.0,5285.0,2523,825,328,497,4971.0,461.0,4510.0,555
2022-07-01,12,3897,1705,905,800,7718.0,1231.0,6487.0,3254,994,420,574,5800.0,606.0,5194.0,698
2022-07-01,13,1109,355,214,141,1336.0,303.0,1033.0,1065,189,97,92,843.0,135.0,708.0,114
2022-07-01,14,690,222,132,90,785.0,162.0,623.0,665,102,46,56,493.0,54.0,439.0,61
2022-07-01,15,542,226,124,102,970.0,163.0,807.0,540,132,55,77,729.0,70.0,659.0,84
