month,geo_region_id,customers_who_ordered_in_previous_month,customers_retained,less_than_two_order_customers,greater_than_two_order_customers,total_orders,orders_less_than_2,orders_greater_than_2,m_1_customers_who_ordered_in_last_to_last_month,m1_customers_retained,m1_less_than_two_order_customers,m1_greater_than_two_order_customers,m1_total_orders,m1_orders_less_than_2,m1_orders_greater_than_2,m1_retention_history
2022-07-01,-1772748896,1,0,0,0,0.0,,,1,0,0,0,0.0,,,0
2022-07-01,1,49902,20282,11421,8861,85159.0,15268.0,69891.0,51951,13095,5982,7113,68629.0,8368.0,60261.0,9687
2022-07-01,2,56032,25956,13800,12156,115490.0,18676.0,96814.0,55793,16978,7107,9871,94581.0,10099.0,84482.0,12796
2022-07-01,3,105044,44466,24794,19672,195685.0,33071.0,162614.0,100926,28194,12414,15780,158309.0,17402.0,140907.0,19960
2022-07-01,4,46734,14552,9513,5039,48349.0,12384.0,35965.0,44918,8175,4366,3809,35639.0,5940.0,29699.0,5519
2022-07-01,5,35415,13595,7537,6058,60501.0,10061.0,50440.0,32127,8424,3626,4798,48364.0,5087.0,43277.0,6168
2022-07-01,6,9803,4253,2308,1945,17568.0,3077.0,14491.0,9649,2694,1185,1509,13822.0,1660.0,12162.0,1885
2022-07-01,7,1809,284,191,93,1044.0,242.0,802.0,2420,146,75,71,795.0,103.0,692.0,100
2022-07-01,8,9571,2964,1826,1138,10604.0,2348.0,8256.0,10317,1586,777,809,7648.0,1069.0,6579.0,1045
2022-07-01,9,2139,549,376,173,1699.0,479.0,1220.0,1937,219,113,106,1044.0,147.0,897.0,125
2022-07-01,10,2552,623,376,247,2075.0,480.0,1595.0,2842,338,167,171,1400.0,228.0,1172.0,189
2022-07-01,11,1593,390,257,133,1157.0,319.0,838.0,1474,176,87,89,734.0,112.0,622.0,108
2022-07-01,12,1312,292,174,118,1199.0,232.0,967.0,1170,150,68,82,858.0,95.0,763.0,100
2022-07-01,13,271,55,37,18,154.0,44.0,110.0,255,23,9,14,105.0,12.0,93.0,17
2022-07-01,14,365,51,38,13,125.0,46.0,79.0,325,21,12,9,77.0,16.0,61.0,16
2022-07-01,15,301,80,47,33,269.0,55.0,214.0,339,48,18,30,223.0,21.0,202.0,28
